Weekday, Month, Day, Dummy1, act_h, act_l, Dummy2, hist_h, hist_l
SUN, 10, 29, Actual Temp, 31 , 20, Hist. Avg., 31, 18
MON, 10, 30, Actual Temp, 31 , 20, Hist. Avg., 31, 18
TUE, 10, 31, Actual Temp, 30 , 19, Hist. Avg., 31, 18
WED, 11, 1, Actual Temp, 30 , 18, Hist. Avg., 30, 18
THU, 11, 2, Actual Temp, 32 , 18, Hist. Avg., 30, 18
FRI, 11, 3, Actual Temp, 32 , 18, Hist. Avg., 30, 17
SAT, 11, 4, Actual Temp, 32 , 18, Hist. Avg., 30, 17
SUN, 11, 5, Actual Temp, 33 , 19, Hist. Avg., 30, 17
MON, 11, 6, Actual Temp, 33 , 18, Hist. Avg., 30, 17
TUE, 11, 7, Actual Temp, 32 , 19, Hist. Avg., 30, 16
WED, 11, 8, Actual Temp, 31 , 18, Hist. Avg., 30, 16
THU, 11, 9, Actual Temp, 30 , 18, Hist. Avg., 30, 16
FRI, 11, 10, Actual Temp, 29 , 18, Hist. Avg., 29, 16
SAT, 11, 11, Actual Temp, 31 , 17, Hist. Avg., 29, 16
SUN, 11, 12, Actual Temp, 31 , 17, Hist. Avg., 29, 15
MON, 11, 13, Actual Temp, 31 , 16, Hist. Avg., 29, 15
TUE, 11, 14, Actual Temp, 30 , 15, Hist. Avg., 29, 15
WED, 11, 15, Actual Temp, 29 , 17, Hist. Avg., 29, 15
THU, 11, 16, Actual Temp, 30 , 20, Hist. Avg., 29, 15
FRI, 11, 17, Actual Temp, 30 , 20, Hist. Avg., 29, 14
SAT, 11, 18, Actual Temp, 32 , 18, Hist. Avg., 28, 14
SUN, 11, 19, Actual Temp, 32 , 17, Hist. Avg., 28, 14
MON, 11, 20, Actual Temp, 31 , 17, Hist. Avg., 28, 14
TUE, 11, 21, Actual Temp, 28 , 14, Hist. Avg., 28, 14
WED, 11, 22, Actual Temp, 27 , 11, Hist. Avg., 28, 14
THU, 11, 23, Actual Temp, 27 , 10, Hist. Avg., 28, 13
FRI, 11, 24, Actual Temp, 27 , 10, Hist. Avg., 27, 13
SAT, 11, 25, Actual Temp, 28 , 10, Hist. Avg., 27, 13
SUN, 11, 26, Actual Temp, 28 , 12, Hist. Avg., 27, 13
MON, 11, 27, Actual Temp, 27 , 11, Hist. Avg., 27, 13
TUE, 11, 28, Actual Temp, 28 , 11, Hist. Avg., 27, 13
WED, 11, 29, Actual Temp, 28 , 10, Hist. Avg., 27, 12
THU, 11, 30, Actual Temp, 28 , 11, Hist. Avg., 27, 12
FRI, 12, 1, Actual Temp, 27 , 11, Hist. Avg., 26, 12
SAT, 12, 2, Actual Temp, 28 , 12, Hist. Avg., 26, 12
SUN, 12, 3, Actual Temp, 28 , 11, Hist. Avg., 26, 12
MON, 12, 4, Actual Temp, 27 , 10, Hist. Avg., 26, 12
TUE, 12, 5, Actual Temp, 27 , 10, Hist. Avg., 26, 12
WED, 12, 6, Actual Temp, 27 , 11, Hist. Avg., 26, 12
THU, 12, 7, Actual Temp, 30 , 14, Hist. Avg., 26, 11
FRI, 12, 8, Actual Temp, 29 , 14, Hist. Avg., 25, 11
SAT, 12, 9, Actual Temp, 28 , 14, Hist. Avg., 25, 11
SUN, 12, 10, Actual Temp, 29 , 16, Hist. Avg., 25, 11
MON, 12, 11, Actual Temp, 30 , 17, Hist. Avg., 25, 11
TUE, 12, 12, Actual Temp, 28 , 14, Hist. Avg., 25, 11
WED, 12, 13, Actual Temp, 29 , 14, Hist. Avg., 25, 11
THU, 12, 14, Actual Temp, 38 , 14, Hist. Avg., 25, 11
FRI, 12, 15, Actual Temp, 27 , 12, Hist. Avg., 24, 11
SAT, 12, 16, Actual Temp, 26 , 12, Hist. Avg., 24, 11
SUN, 12, 17, Actual Temp, 24 , 10, Hist. Avg., 24, 10
MON, 12, 18, Actual Temp, 22 , 10, Hist. Avg., 24, 10
TUE, 12, 19, Actual Temp, 23 , 10, Hist. Avg., 24, 10
WED, 12, 20, Actual Temp, 25 , 11, Hist. Avg., 24, 10
THU, 12, 21, Actual Temp, 27 , 12, Hist. Avg., 24, 10
FRI, 12, 22, Actual Temp, 27 , 13, Hist. Avg., 24, 10
SAT, 12, 23, Actual Temp, 25 , 11, Hist. Avg., 24, 10
SUN, 12, 24, Actual Temp, 25 , 9, Hist. Avg., 24, 10
MON, 12, 25, Actual Temp, 24 , 9, Hist. Avg., 24, 10
TUE, 12, 26, Actual Temp, 20 , 10, Hist. Avg., 24, 10
WED, 12, 27, Actual Temp, 22 , 12, Hist. Avg., 23, 10
THU, 12, 28, Actual Temp, 23 , 9, Hist. Avg., 23, 10
FRI, 12, 29, Actual Temp, 17 , 10, Hist. Avg., 23, 10
SAT, 12, 30, Actual Temp, 18 , 9, Hist. Avg., 23, 10
SUN, 12, 31, Actual Temp, 16 , 9, Hist. Avg., 23, 10
MON, 1, 1, Actual Temp, 17 , 8, Hist. Avg., 23, 10
TUE, 1, 2, Actual Temp, 17 , 7, Hist. Avg., 23, 10
WED, 1, 3, Actual Temp, 15 , 7, Hist. Avg., 23, 10
THU, 1, 4, Actual Temp, 16 , 8, Hist. Avg., 23, 10
FRI, 1, 5, Actual Temp, 13 , 5, Hist. Avg., 23, 10
SAT, 1, 6, Actual Temp, 16 , 7, Hist. Avg., 23, 10
SUN, 1, 7, Actual Temp, 16 , 6, Hist. Avg., 23, 10
MON, 1, 8, Actual Temp, 18 , 6, Hist. Avg., 23, 9
TUE, 1, 9, Actual Temp, 18 , 6, Hist. Avg., 23, 9
WED, 1, 10, Actual Temp, 14 , 7, Hist. Avg., 23, 9
THU, 1, 11, Actual Temp, 12 , 5, Hist. Avg., 23, 9
FRI, 1, 12, Actual Temp, 15 , 8, Hist. Avg., 23, 9
SAT, 1, 13, Actual Temp, 16 , 6, Hist. Avg., 22, 9
SUN, 1, 14, Actual Temp, 16 , 6, Hist. Avg., 22, 9
MON, 1, 15, Actual Temp, 19 , 9, Hist. Avg., 22, 9
TUE, 1, 16, Actual Temp, 17 , 8, Hist. Avg., 22, 9
WED, 1, 17, Actual Temp, 17 , 7, Hist. Avg., 22, 9
THU, 1, 18, Actual Temp, 19 , 8, Hist. Avg., 22, 9
FRI, 1, 19, Actual Temp, 19 , 7, Hist. Avg., 23, 9
SAT, 1, 20, Actual Temp, 18 , 8, Hist. Avg., 23, 9
SUN, 1, 21, Actual Temp, 22 , 8, Hist. Avg., 23, 9
MON, 1, 22, Actual Temp, 22 , 7, Hist. Avg., 23, 9
TUE, 1, 23, Actual Temp, 25 , 7, Hist. Avg., 23, 9
WED, 1, 24, Actual Temp, 25 , 10, Hist. Avg., 23, 9
THU, 1, 25, Actual Temp, 23 , 10, Hist. Avg., 23, 10
FRI, 1, 26, Actual Temp, 18 , 11, Hist. Avg., 23, 10
SAT, 1, 27, Actual Temp, 23 , 8, Hist. Avg., 23, 10
